price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,amenities,locality
₹ 60 Lacs,"1,030",2 Bedroom,2 Bathroom,1.0,Vinayaka Terraces,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/2,Car,No,"[""Children's play area"", 'Visitor parking']",Attiguppe
₹ 60 Lacs,"2,400",3 Bedroom,5 Bathroom,,Independent House,3-5 years,Self Owned,3-5 years,"2,400 sq.ft",Semi,East,4/4,No,No,,Attiguppe
₹ 1.2 Crores,"1,200",4 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Unfurnished,0/0,0/0,No,No,,Attiguppe
₹ 20 Lacs,450,1 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,450 sq.ft,Unfurnished,East,0/1,No,No,,Attiguppe
₹ 5.5 Crores,"2,200",4 Bedroom,3 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"2,200 sq.ft",Semi,South-East,0/0,Bike and Car,No,,Attiguppe
₹ 1.5 Crores,"2,500",4 Bedroom,5 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"2,500 sq.ft",Fully furnished,West,0/2,Car,Yes,['Security'],Attiguppe
₹ 1.35 Crores,"1,350",3 Bedroom,3 Bathroom,,Madhav Kuteer,>10 years,Self Owned,>10 years,,Semi,East,2/2,Bike and Car,No,,Attiguppe
₹ 66 Lacs,"1,163",2 Bedroom,2 Bathroom,1.0,Sri Ravi Aramane,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,0/5,Bike and Car,No,['Lift'],Attiguppe
₹ 95 Lacs,"1,100",2 Bedroom,2 Bathroom,,Standalone Building,1-3 years,Self Owned,1-3 years,"1,100 sq.ft",1/4,East,1/4,Bike and Car,Yes,['Security'],Attiguppe
₹ 20 Lacs,500,1 Bedroom,1 Bathroom,,Slumboard Apartment,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,1/4,No,No,,Attiguppe
₹ 95 Lacs,686,2 Bedroom,3 Bathroom,2.0,Standalone Building,>10 years,Self Owned,>10 years,686 sq.ft,2/2,North,2/2,No,No,,Attiguppe
₹ 1.65 Crores,"3,300",4 Bedroom,9 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,"3,300 sq.ft",0/3,East,0/3,Bike and Car,No,,Attiguppe
₹ 80 Lacs,"1,200",4 Bedroom,3 Bathroom,,Madhava Arcade,3-5 years,Self Owned,3-5 years,,Semi,North,3/4,Bike and Car,Yes,['Security'],Attiguppe
₹ 3.6 Crores,"2,000",4 Bedroom,10 Bathroom,,Madeshwara Nilaya,5-10 years,Self Owned,5-10 years,,Semi,North,0/4,Bike,No,,Attiguppe
₹ 80 Lacs,900,2 Bedroom,2 Bathroom,1.0,Maruthi Apartments,>10 years,Self Owned,>10 years,Mosaic,Unfurnished,North,2/2,Bike,No,,Attiguppe
₹ 1.5 Crores,"2,800",4 Bedroom,9 Bathroom,,Nv Building,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,0/4,Bike and Car,No,,Attiguppe
₹ 4 Crores,600,1 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,600 sq.ft,Fully furnished,South-East,0/3,Bike,No,,Attiguppe
₹ 45 Lacs,600,1 Bedroom,1 Bathroom,,Banshankri Crest,>10 years,Self Owned,>10 years,,Semi,North,3/3,Bike,No,,Attiguppe
₹ 2 Crores,"1,200",3 Bedroom,2 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Semi,West,0/0,Bike and Car,No,"['Sewage treatment plant', 'Park', 'Shopping center', ""Children's play area"", 'Swimming pool', 'Visitor parking']",Attiguppe
₹ 65 Lacs,"1,100",2 Bedroom,2 Bathroom,2.0,Golden Mansion,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/4,Car,Yes,"['Internet provider', 'Lift', 'Security']",Attiguppe
₹ 75 Lacs,"1,200",2 Bedroom,2 Bathroom,2.0,"Vaibhav Homes ,",>10 years,Self Owned,>10 years,,Semi,East,3/3,Bike and Car,Yes,,Attiguppe
₹ 70 Lacs,"1,196",2 Bedroom,2 Bathroom,,Vaibhav Homes,>10 years,Self Owned,>10 years,,Unfurnished,East,1/3,Bike and Car,Yes,['Security'],Attiguppe
₹ 5.2 Crores,"3,600",4 Bedroom,9 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"3,600 sq.ft",Semi,East,0/2,Bike,No,,Attiguppe
₹ 1.3 Crores,"2,400",4 Bedroom,6 Bathroom,,Standalone Building,>10 years,Self Owned,>10 years,"2,400 sq.ft",0/3,North-East,0/3,Bike and Car,No,,Attiguppe
₹ 1.25 Crores,"2,500",4 Bedroom,6 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,,Unfurnished,East,0/3,Bike,No,,Attiguppe
₹ 90 Lacs,"1,225",3 Bedroom,2 Bathroom,,Daffodils,>10 years,Self Owned,>10 years,Mosaic,Semi,East,0/3,Bike and Car,No,,Attiguppe
₹ 2.5 Crores,"1,600",3 Bedroom,2 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,600 sq.ft",Semi,North,0/2,Bike and Car,No,,Attiguppe
₹ 4 Crores,"5,800",4 Bedroom,12 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,"5,800 sq.ft",0/5,West,0/5,Bike and Car,No,,Attiguppe
₹ 2.5 Crores,"1,450",3 Bedroom,2 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,450 sq.ft",Semi,North-East,0/1,Bike and Car,No,,Attiguppe
₹ 11.5 Crores,"1,635",3 Bedroom,3 Bathroom,2.0,Nanda Ashirwad Apar...,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,South,0/3,Bike and Car,Yes,"['Lift', 'Swimming pool', 'Fire safety', 'Security', 'Visitor parking']",Attiguppe
₹ 3.8 Crores,"7,920",4 Bedroom,10 Bathroom,,Stanaalone Building,5-10 years,On Lease,5-10 years,,Unfurnished,North,0/3,Bike,No,,Attiguppe
₹ 90 Lacs,"1,225",3 Bedroom,2 Bathroom,,Daffodils Apartment,>10 years,Self Owned,>10 years,Mosaic,Semi,East,1/3,Car,No,,Attiguppe
₹ 55 Lacs,900,2 Bedroom,2 Bathroom,1.0,Sumukh Residency,>10 years,Self Owned,>10 years,Marble/Granite,Semi,West,1/2,Bike and Car,No,,Attiguppe
₹ 98 Lacs,"1,500",4 Bedroom,3 Bathroom,2.0,Independent House,>10 years,Self Owned,>10 years,"1,500 sq.ft",Unfurnished,North,0/2,Bike,Yes,['Security'],Attiguppe
₹ 46 Lacs,700,1 Bedroom,1 Bathroom,1.0,Skyline City Tower ...,>10 years,Self Owned,>10 years,Mosaic,Semi,North,6/9,Bike and Car,No,"['Lift', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Shopping center', 'Park', 'Visitor parking']",Attiguppe
₹ 1 Crore,"1,350",3 Bedroom,3 Bathroom,1.0,Parijatha,1-3 years,Self Owned,1-3 years,Marble/Granite,Fully furnished,East,3/4,Bike and Car,No,['Park'],Attiguppe
₹ 99 Lacs,"1,175",2 Bedroom,2 Bathroom,1.0,Independent House,Newly Constructed,Self Owned,Newly Constructed,"1,175 sq.ft",1/3,East,1/3,Bike and Car,Yes,['Security'],Attiguppe
₹ 1.2 Crores,"1,415",3 Bedroom,2 Bathroom,3.0,Vidyagiri Residency,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,West,3/4,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Park', 'Visitor parking']",Attiguppe
₹ 70 Lacs,"2,400",4 Bedroom,1 Bathroom,,Standalone Building,1-3 years,Self Owned,1-3 years,"2,400 sq.ft",Semi,North,0/2,Bike,No,['Visitor parking'],Attiguppe
₹ 35 Lacs,540,1 Bedroom,1 Bathroom,,Sneha Apartments,>10 years,Self Owned,>10 years,Mosaic,Unfurnished,West,0/3,Bike,Yes,"['Lift', 'Security']",Attiguppe
₹ 3.25 Crores,"3,900",4 Bedroom,7 Bathroom,,Standalonebuilding,5-10 years,Self Owned,5-10 years,,Semi,North,0/3,Bike and Car,No,,Attiguppe
₹ 4.1 Crores,"1,200",3 Bedroom,2 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Unfurnished,South,0/1,Bike and Car,No,"['Shopping center', 'Gas pipeline', 'Park']",Attiguppe
₹ 75 Lacs,"1,200",2 Bedroom,2 Bathroom,1.0,M S Residency,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,North,0/4,Bike and Car,Yes,"['Lift', 'Security', 'Gas pipeline']",Attiguppe
₹ 65 Lacs,"1,005",2 Bedroom,2 Bathroom,2.0,Skyline City Tower ...,>10 years,Self Owned,>10 years,,Semi,North,5/7,Bike and Car,No,"['Lift', 'Intercom', ""Children's play area"", 'Fire safety', 'Park', 'Visitor parking']",Attiguppe
₹ 90 Lacs,"2,000",4 Bedroom,6 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"2,000 sq.ft",Unfurnished,East,0/2,No,No,,Attiguppe
₹ 85 Lacs,"1,260",3 Bedroom,3 Bathroom,,Independent House,1-3 years,Self Owned,1-3 years,"1,260 sq.ft",Unfurnished,East,0/2,Bike and Car,No,,Attiguppe
₹ 85 Lacs,998,2 Bedroom,2 Bathroom,2.0,Skyline City Chandr...,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,4/7,Car,Yes,"['Lift', 'Internet provider', 'Fire safety', 'Security']",Attiguppe
₹ 1.1 Crores,"1,560",3 Bedroom,2 Bathroom,2.0,N K Homes,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,1/4,Bike and Car,Yes,['Security'],Attiguppe
₹ 1.35 Crores,"1,310",2 Bedroom,2 Bathroom,3.0,Anubhava Mantapa Ap...,5-10 years,Self Owned,5-10 years,Mosaic,Fully furnished,North,3/3,Car,Yes,"['Lift', 'Internet provider', 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Attiguppe
₹ 63 Lacs,"1,629",2 Bedroom,2 Bathroom,4.0,Manish Sourabh Apar...,>10 years,Self Owned,>10 years,,Semi,North,1/2,Car,Yes,"['Lift', 'Security']",Banashankari
₹ 60 Lacs,550,2 Bedroom,2 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,550 sq.ft,Unfurnished,North,0/0,No,No,,Banashankari
₹ 90 Lacs,"1,350",3 Bedroom,2 Bathroom,2.0,"Balaji Paradise, It...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/2,Bike and Car,No,,Banashankari
₹ 95 Lacs,"1,350",3 Bedroom,3 Bathroom,1.0,Sai Balaji Paradise,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,East,1/4,Bike and Car,No,,Banashankari
₹ 75 Lacs,"1,300",3 Bedroom,3 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,"1,300 sq.ft",3/4,South,3/4,Bike and Car,No,"['Lift', 'Internet provider']",Banashankari
₹ 83 Lacs,"1,160",2 Bedroom,2 Bathroom,3.0,Pristine Bouganvilla,5-10 years,Self Owned,5-10 years,Mosaic,Fully furnished,North-East,3/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Intercom', ""Children's play area"", 'Security', 'Visitor parking']",Banashankari
₹ 60 Lacs,"1,050",2 Bedroom,2 Bathroom,2.0,Terrace Garden Apar...,>10 years,Self Owned,>10 years,,Semi,2/4,2/4,Bike and Car,Yes,"['Gym', ""Children's play area"", 'Security']",Banashankari
₹ 1.15 Crores,995,2 Bedroom,2 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,995 sq.ft,Semi,West,0/2,Bike,No,,Banashankari
₹ 2.7 Crores,"1,950",3 Bedroom,3 Bathroom,2.0,Standalone Building,Under Construction,Self Owned,Under Construction,"1,950 sq.ft",1/4,West,1/4,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Fire safety', 'Security', 'Gas pipeline', 'Park']",Banashankari
₹ 6.4 Crores,"3,100",4 Bedroom,3 Bathroom,2.0,Independent House,>10 years,Self Owned,>10 years,"3,100 sq.ft",Fully furnished,East,3/3,Car,No,,Banashankari
₹ 1.5 Crores,"1,455",3 Bedroom,3 Bathroom,2.0,Needsrini Residency,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Fully furnished,North,2/4,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Security', 'Gas pipeline', 'Park', 'Visitor parking']",Banashankari
₹ 69 Lacs,"1,200",3 Bedroom,3 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Semi,North,0/0,Car,No,,Banashankari
₹ 64.99 Lacs,"1,280",2 Bedroom,2 Bathroom,3.0,"N S Elite, Banashan...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,0/4,Car,Yes,"['Lift', 'Internet provider', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Visitor parking']",Banashankari
₹ 1.05 Crores,"1,750",3 Bedroom,3 Bathroom,1.0,Hara Homes Apartment,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,2/4,Bike and Car,Yes,"['Lift', 'Intercom', ""Children's play area"", 'Security', 'Sewage treatment plant', 'Visitor parking']",Banashankari
₹ 75 Lacs,"1,260",3 Bedroom,2 Bathroom,1.0,Shiv Shakthi,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Unfurnished,East,0/4,Bike and Car,Yes,['Security'],Banashankari
₹ 1.77 Crores,"1,540",3 Bedroom,3 Bathroom,2.0,Smr Embassy Apartme...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,4/4,Bike and Car,Yes,"['Gym', 'Intercom', 'Security', 'Park']",Banashankari
₹ 1.02 Crores,"2,100",4 Bedroom,1 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"2,100 sq.ft",Semi,East,3/3,Car,No,['Park'],Banashankari
₹ 1.45 Crores,"1,940",3 Bedroom,2 Bathroom,2.0,Sri Hari Palace,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,0/2,Bike and Car,No,['Lift'],Banashankari
₹ 3.6 Crores,"6,386",3 Bedroom,12 Bathroom,8.0,Standalone Building,>10 years,Self Owned,>10 years,"6,386 sq.ft",Semi,East,0/3,Bike and Car,No,,Banashankari
₹ 1.1 Crores,"1,275",2 Bedroom,2 Bathroom,1.0,Prerana Apartment,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,East,4/5,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Fire safety', 'Security', 'Sewage treatment plant']",Banashankari
₹ 3 Crores,"3,000",4 Bedroom,3 Bathroom,2.0,Independent House,>10 years,Self Owned,>10 years,"3,000 sq.ft",Semi,East,2/3,Bike,No,['Park'],Banashankari
₹ 1 Crore,500,4 Bedroom,1 Bathroom,,Independent House,1-3 years,Self Owned,1-3 years,500 sq.ft,Semi,East,2/3,No,No,,Banashankari
₹ 62.5 Lacs,925,2 Bedroom,2 Bathroom,1.0,Sai Krishna,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Unfurnished,East,2/5,Bike and Car,Yes,"['Lift', 'Security']",Banashankari
₹ 1.6 Crores,"2,400",3 Bedroom,4 Bathroom,2.0,Independent House,5-10 years,Self Owned,5-10 years,"2,400 sq.ft",Fully furnished,South,3/3,Car,No,"['Internet provider', 'Gas pipeline']",Banashankari
₹ 1.8 Crores,"2,500",4 Bedroom,4 Bathroom,3.0,Independent House,>10 years,Self Owned,>10 years,"2,500 sq.ft",Semi,East,0/2,No,No,,Banashankari
₹ 1 Crore,"1,000",2 Bedroom,2 Bathroom,1.0,Sri Subramanya Krup...,5-10 years,Self Owned,5-10 years,,Fully furnished,South,4/5,Bike and Car,Yes,"['Lift', 'Gym', ""Children's play area"", 'Security', 'Gas pipeline', 'Park', 'Sewage treatment plant']",Basavangudi
₹ 68 Lacs,450,1 Bedroom,1 Bathroom,,Sri Subramanya Krup...,5-10 years,Self Owned,5-10 years,Cement,Semi,North,0/4,Bike and Car,Yes,"['Lift', 'Gym', ""Children's play area"", 'Security', 'Gas pipeline', 'Park', 'Sewage treatment plant']",Basavangudi
₹ 85 Lacs,"1,800",2 Bedroom,1 Bathroom,,Independent House,5-10 years,Self Owned,5-10 years,"1,800 sq.ft",Unfurnished,East,3/3,Bike,No,,Basavangudi
₹ 6.4 Crores,"3,198",4 Bedroom,4 Bathroom,2.0,Surasa Enclave,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,East,3/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Intercom', 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Sewage treatment plant', 'Visitor parking']",Basavangudi
₹ 33 Lacs,"2,347",3 Bedroom,2 Bathroom,1.0,Symbiosis Adithya,1-3 years,Self Owned,1-3 years,Marble/Granite,Semi,West,2/5,Bike,Yes,"['Lift', 'Security', 'Gas pipeline']",Basavangudi
₹ 45 Lacs,950,2 Bedroom,2 Bathroom,,"Gajaendra Nilaya, K...",>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,1/3,Bike,No,,Basavangudi
₹ 1.3 Crores,"1,350",3 Bedroom,3 Bathroom,2.0,Mathru Chaya,>10 years,Self Owned,>10 years,Cement,Semi,North-West,2/3,Bike and Car,Yes,['Security'],Basavangudi
₹ 6.6 Crores,"2,200",4 Bedroom,5 Bathroom,,Standalone Building,>10 years,Self Owned,>10 years,,Semi,East,0/3,Bike and Car,No,,Basavangudi
₹ 78 Lacs,"2,400",4 Bedroom,5 Bathroom,,Standalone Building,>10 years,Self Owned,>10 years,"2,400 sq.ft",0/3,West,0/3,No,No,,Basavangudi
₹ 6.51 Crores,"3,000",4 Bedroom,3 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"3,000 sq.ft",Unfurnished,West,0/2,Bike and Car,No,,Basavangudi
₹ 2 Crores,"1,681",3 Bedroom,3 Bathroom,1.0,Kings Manor,Newly Constructed,Self Owned,Newly Constructed,Marble/Granite,Unfurnished,West,3/4,Car,Yes,"['Lift', 'Gas pipeline', 'Fire safety', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Visitor parking']",Basavangudi
₹ 1.5 Crores,"1,050",2 Bedroom,2 Bathroom,1.0,Bugle Rock Reside,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,East,1/2,Car,Yes,"['Lift', 'Fire safety', 'Security']",Basavangudi
₹ 1.1 Crores,860,2 Bedroom,2 Bathroom,3.0,S.a.s Residency Gan...,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,2/2,Bike,No,['Lift'],Basavangudi
₹ 2.16 Crores,900,3 Bedroom,2 Bathroom,,Independent House,5-10 years,Self Owned,5-10 years,900 sq.ft,Semi,South,1/2,No,No,,Basavangudi
₹ 2.1 Crores,"1,540",3 Bedroom,3 Bathroom,,Srisailam Apartments,5-10 years,Self Owned,5-10 years,,Semi,West,2/4,Car,Yes,['Security'],Basavangudi
₹ 72 Lacs,"1,250",3 Bedroom,2 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,250 sq.ft",Semi,East,0/3,Bike,No,,Basavangudi
₹ 8.5 Crores,"3,600",4 Bedroom,4 Bathroom,4.0,Svasa Homes,Newly Constructed,Self Owned,Newly Constructed,Marble/Granite,Unfurnished,North,10/18,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Basavangudi
₹ 2.2 Crores,882,2 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,882 sq.ft,Unfurnished,East,0/0,Bike and Car,No,,Basavangudi
₹ 75 Lacs,770,2 Bedroom,1 Bathroom,,Standalone Building,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North-East,0/3,No,No,,Basavangudi
₹ 4.5 Crores,"3,150",4 Bedroom,3 Bathroom,1.0,Mfar Platinium Anan...,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Unfurnished,West,1/15,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Sewage treatment plant', 'Visitor parking']",Basavangudi
₹ 1.5 Crores,"1,000",2 Bedroom,1 Bathroom,,Standalone Building,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North,3/3,No,Yes,"['Security', 'Visitor parking']",Basavangudi
₹ 6.25 Crores,"3,850",4 Bedroom,6 Bathroom,6.0,Siddha Shekha Marqu...,Newly Constructed,Self Owned,Newly Constructed,Marble/Granite,Fully furnished,West,9/22,Bike and Car,No,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area""]",Basavangudi
₹ 2.5 Crores,"2,100",3 Bedroom,2 Bathroom,2.0,Brigade Rathna Bang...,>10 years,Self Owned,₹1.4 per sq.ft/m,Mosaic,Semi,North,1/3,Bike and Car,Yes,"['Lift', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Basavangudi
₹ 5 Crores,"3,000",3 Bedroom,4 Bathroom,4.0,Siddh Shekha Marquis,Newly Constructed,Self Owned,Newly Constructed,Marble/Granite,Fully furnished,East,18/22,Bike and Car,No,"['Lift', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area""]",Basavangudi
₹ 3.2 Crores,"3,000",4 Bedroom,4 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,"3,000 sq.ft",0/2,East,0/2,Bike and Car,No,,Basavangudi
₹ 1.5 Crores,"1,200",2 Bedroom,2 Bathroom,2.0,Adarsh Palm Retreat...,>10 years,Self Owned,>10 years,,Semi,East,3/10,Car,Yes,"['Intercom', 'Internet provider', 'Lift', 'Club house', 'Gas pipeline', 'Fire safety', 'Park', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Bellandur
₹ 2.1 Crores,"1,591",3 Bedroom,2 Bathroom,2.0,Sterling Ascentia,1-3 years,Self Owned,1-3 years,Marble/Granite,Semi,North-West,14/14,Bike and Car,Yes,"['Gym', 'Security']",Bellandur
₹ 1.9 Crores,"1,278",2 Bedroom,2 Bathroom,2.0,Adarsh Palm Retreat...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,East,8/10,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Visitor parking']",Bellandur
₹ 2.25 Crores,"2,000",3 Bedroom,3 Bathroom,3.0,Divyasree Elan Homes,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,9/10,Car,No,"['Intercom', 'Internet provider', 'Lift', 'Club house', 'Gas pipeline', 'Fire safety', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Bellandur
₹ 2.16 Crores,"2,400",4 Bedroom,4 Bathroom,4.0,Passcode Carmelaram,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,South,11/24,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 1.44 Crores,"1,700",3 Bedroom,3 Bathroom,3.0,Passcode Carmelaram,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,South,16/24,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 3.3 Crores,"2,170",3 Bedroom,3 Bathroom,2.0,Assetz East Point,5-10 years,Self Owned,5-10 years,,Semi,East,1/12,Car,No,,Bellandur
₹ 3.41 Crores,"2,147",4 Bedroom,4 Bathroom,2.0,Dnr Arista,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,North-East,8/12,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 2.35 Crores,"1,499",3 Bedroom,3 Bathroom,2.0,Dnr Arista,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,North-East,11/12,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 1.66 Crores,"1,134",2 Bedroom,2 Bathroom,2.0,Dnr Arista,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,North-East,4/12,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 1.55 Crores,"1,588",3 Bedroom,2 Bathroom,3.0,Sindhu Amazon,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,7/9,Car,Yes,"['Lift', 'Internet provider', 'Club house', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Visitor parking']",Bellandur
₹ 1 Crore,"1,542",3 Bedroom,3 Bathroom,3.0,Coronet Greens Apar...,>10 years,Self Owned,>10 years,Marble/Granite,Semi,West,1/5,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 2.6 Crores,"1,800",3 Bedroom,3 Bathroom,5.0,Goyal And Co Orchid...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,West,11/14,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 85 Lacs,"1,120",2 Bedroom,2 Bathroom,1.0,"Sri Reddy Splendid,...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,1/4,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Intercom', ""Children's play area"", 'Fire safety', 'Security']",Bellandur
₹ 68 Lacs,"1,080",2 Bedroom,2 Bathroom,1.0,Sri Balaji Paradise,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,3/5,Bike and Car,Yes,"['Lift', 'Internet provider', 'Intercom', 'Fire safety', 'Security', 'Gas pipeline', 'Sewage treatment plant', 'Visitor parking']",Bellandur
₹ 2.4 Crores,"1,800",3 Bedroom,3 Bathroom,5.0,Goyalco Orchid Lake...,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,East,6/14,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Bellandur
