web-scraper-order,web-scraper-start-url,link01,link01-href,price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,description,bus_station,amenities,address,locality,bus_count
1705040573-32,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,"1 BHK Apartment In Bda Mig Flats, Domlur For Sale  In Domlur",https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-domlur-bangalore/8a9fd68489b0b0740189b14479e7689a/detail,₹ 40 Lacs,550,1 Bedroom,1 Bathroom,,"Bda Mig Flats, Doml...",5-10 years,Self Owned,5-10 years,Marble/Granite,Unfurnished,South-East,0/1,Bike,No,"This 1BHK in Domlur for sale is an ideal investment, the home is spacious and comfortable. This South East facing home is over 550 sqft. & is in a convenient location. You get ample & dedicated parking space for a bike with this home.

As this home comes with rainwater harvesting & waste treatment plant & more such amenities, living here would make life more pleasant.",Bus StationsASC Centre Bus Stop3.4 km | 10 minsSony World 80ft Road Koramangala4.8 km | 14 minsMuneshwara Devasthana7.9 km | 26 minsKrupanidi College6.3 km | 19 minsom tours &travels6.2 km | 20 mins,['Sewage treatment plant'],"Bengaluru, Stage 2, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040576-33,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,3 BHK Apartment In Diamond District For Sale  In Domlur,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-domlur-bangalore/8a9fe84f86022137018602c0a5d3736e/detail,₹ 2.25 Crores,"1,770",3 Bedroom,2 Bathroom,3.0,Diamond District,>10 years,Self Owned,>10 years,,Semi,0/6,0/6,Car,Yes,"Spacious apartment, most premium location inside society with drive into flat. Adjacent to and facing the Club House and Swimming pool facing. Security gaurd Posted at Door front.
Beautiful condominium with all amenities, children play areas daily need shopping inside, and convenient location on HAL road, walking distance from across TGI Fridays and Leela Hotel, Manipal Hospital and Indiranagar.
A three bedroom in Domlur for sale is now available, it is one of a few houses at this rate. This home is over 1770 sqft. & even comes with ample dedicated parking area for car.

With Inox, Fame Shankarnag Chitra Mandir & Sri Balaji Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic. Never miss out on lifestyle as 1 MG - Lido Mall, The Oasis Centre and Max Fashion are so close by.

With an ATM, petrol pump & super market near this home, you'll never have to go far for these essentials. Access to bus stop & medical stores is very easy & convenient from this house.

India International School and New Horizon Public School are closeby and are known for providing quality education. Being situated near Hosmat Hospital, Nethradhama Superspeciality Eye Hospital and Axon Speciality Hospital, emergency care is very easily available at any time.",Bus StationsKodihalli Bus Stop0.4 km | 5 minsDomlur Flyover Bus Stop0.5 km | 6 minsManipal Hospital Bus Stop0.7 km | 9 minsredBus0.8 km | 11 minsInner Ring Road ISRO Quarters Bus Stop0.8 km | 10 mins,"['Intercom', 'Internet provider', 'Lift', 'Club house', 'Gas pipeline', 'Fire safety', 'Sewage treatment plant', 'Park', 'Shopping center', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']","Diamond District, Old Airport Raod, Kodihalli, Bangalore 560008, Karnataka, India, HAL Old Airport Rd, ISRO Colony, Domlur, Bengaluru, Karnataka 560008, India",Domlur,5.0
1705040578-34,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,3 BHK Apartment In Natasha Golf View Apartments For Sale  In Domlur,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-domlur-bangalore/8a9fa28278e3260f0178e3385b090631/detail,₹ 1.45 Crores,"1,560",3 Bedroom,2 Bathroom,3.0,Natasha Golf View A...,>10 years,Self Owned,>10 years,Mosaic,Semi,East,7/7,Bike and Car,Yes,"This 3 BHK for sale comes with an affordable price tag of just 1.45 Crores rupees with an additional perk of paying no brokerage. This East facing home is on the 7th floor. This home is over 1560 sqft. & even comes with ample parking facility for car and bike.

You are viewing the right home if you would prefer a house with parking for visitors & waste treatment plant. If you need amenities such as intercom, security, lift & Wi-Fi you'll be happy to note that this home has this & more. Amenities like community centre, space for kids to play, gym, garden & swimming pool gives you something to do in your free time.

Access to bus station & medical stores is very easy & convenient from this house.

If you are looking for gifts, or just want to spoil yourself, Gangarams, Tibet Mall and Hellmann Worldwide Logistics have a wide variety of things that you can choose from. When you need a break from your hectic day, check out Rajeshwari Theatre that is close by.

National Public School, EuroKids Pre-School Koramangala - Tiny Tots and Bethany High School are well known educational institutes in town & are very close to this home. If you are in need of any emergency services or medical assistance, you will be happy to note that ESI Hospital, Cloudnine Hospital - Old Airport Road and Enhanced Health Care are very close by.",Bus StationsDr BR Ambedkar Bus Terminal Domlur4.4 km | 11 minsHero Honda0.5 km | 2 minsPolice Station Indiranagara5.4 km | 15 minsDouble Road Indiranagara5.6 km | 15 minsPolice Station Indiranagara5.4 km | 14 mins,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']","Intermediate Ring Road, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040581-35,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,3 BHK Flat In Purva Paradise For Sale  In Domlur,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-domlur-bangalore/8a9fc182807dc9f501807e224b0c3f06/detail,₹ 2.5 Crores,"2,425",3 Bedroom,3 Bathroom,,Purva Paradise,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,3/3,Bike and Car,Yes,"This lovely 3 BHK for sale is only 2.5 Crores rupees without any extra brokerage & could be your new home. This East facing home is over 2425 sqft. & is in a convenient location. Situated on the 3rd floor this home can comfortably serve your parking facility for car and bike needs.

When you need a gym, all you have to do is step out of the door as the apartment complex has what you're looking for. If you need amenities such as security you'll be happy to note that this home has this & more.

As there are bus station, super market & other local amenities close by, you'll find everything you need near home. Essential services such as ATM, petrol pump & pharmacies are close by & easy to find from this home.

Being situated near Hosmat Hospital, Nethradhama Superspeciality Eye Hospital and Axon Speciality Hospital, emergency care is very easily available at any time. Bishop Cotton Girls' School, Baldwin Girls' High School and National Public School are well known educational institutes in town & are very close to this home.

If you are looking for gifts, or just want to spoil yourself, Lido, Bangalore Central Mall and The Oasis Centre have a wide variety of things that you can choose from. With Rex Theatre, Fame Shankarnag Chitra Mandir & Sri Balaji Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic.",Bus StationsDomlur Bus Stop76 m | 1 minDoopanahalli Bus Stop0.9 km | 11 minsGangarams Bus Stop0.7 km | 8 minsDell IT Complex Bus Stop0.9 km | 11 minsKodihalli Bus Stop0.9 km | 12 mins,"['Gym', 'Security']","Purva Paradise, 4th Main Rd, Domlur I Stage, 1st Stage, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040583-36,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Asma Mahal For Sale  In Domlur,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-domlur-bangalore/8a9f9293764b77b501764b828b9402f9/detail,₹ 1.2 Crores,800,2 Bedroom,2 Bathroom,2.0,Asma Mahal,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,North,1/2,Bike and Car,No,"A small well designed and highly customized 2 BHK  within a few minutes walking distance of NPS and New Horizon school and a stones throw to all  prominent destinations like Indiranagar ,pubs and restaurants and 100 ft and 80 ft road and 12 main
Get this 2bhk for sale in Domlur now, you save lakhs on brokerage! This North facing home is on the 1st floor. This home is over 800 sqft. & even comes with ample parking space for a car and bike.

With Inox, Fame Shankarnag Chitra Mandir & Sri Balaji Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic. If you are looking for gifts, or just want to spoil yourself, 1 MG - Lido Mall, The Oasis Centre and Max Fashion have a wide variety of things that you can choose from.

If you are in need of any emergency services or medical assistance, you will be happy to note that Hosmat Hospital, Nethradhama Superspeciality Eye Hospital and Axon Speciality Hospital are very close by. As India International School and New Horizon Public School are nearby, quality education is very easy to find.

This home has easy access to ATM, super market & more local amenities because of its convenient location. With a bus stop, petrol pump as well as pharmacies nearby, you won't have to worry about fuel, transport or access to medication.",Bus StationsKodihalli Bus Stop0.4 km | 5 minsDomlur Flyover Bus Stop0.5 km | 6 minsManipal Hospital Bus Stop0.7 km | 9 minsredBus0.8 km | 11 minsInner Ring Road ISRO Quarters Bus Stop0.8 km | 10 mins,,"Domlur Layout, Bangalore",Domlur,5.0
1705040586-37,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,1 RK Flat In Natasha Golf View Apartments For Sale  In Domlur,https://www.nobroker.in/property/buy/1-rk-apartment-for-sale-in-domlur-bangalore/8a9fa5838c57f761018c5807025707e2/detail,₹ 20 Lacs,165,1 Bedroom,1 Bathroom,,Natasha Golf View A...,5-10 years,Self Owned,5-10 years,,Semi,North,0/3,Bike and Car,Yes,"no kitchen
This lovely 1 RK for sale is only 20 Lakhs rupees without any extra brokerage & could be your new home. This North facing home is over 165 sqft. & is in a convenient location. You get ample & dedicated parking place for car and bike with this home.

When you need community centre, play area for kids, well equipped gym, park & swimming pool for relaxation, all you have to do is step out of the door as the apartment complex has what you're looking for. As this home comes with parking for visitors, fire fighting equipment & sewage treatment plant & more such amenities, living here would make life more pleasant. If you are looking for a home with security & elevator, this home is just right for you.",Bus StationsVibhuthipura Samudaya Bhavan0.3 km | 4 minsAnnasandrapalya0.6 km | 8 minsLal Bahaddur Shastri Nagara1.4 km | 18 minsHAL Police Station Bus Stop1.6 km | 20 minsKIA 4 Airport Bus Stop1.8 km | 23 mins,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']","No.2, Intermediate Ring Road, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040588-38,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,3 BHK Flat In Natasha Golf View Apartments For Sale  In Domlur,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-domlur-bangalore/ff8081815ecdca24015ed17259806e77/detail,₹ 1.8 Crores,"1,930",3 Bedroom,3 Bathroom,1.0,Natasha Golf View A...,>10 years,Self Owned,>10 years,Mosaic,Semi,1/7,1/7,Bike and Car,Yes,"The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools, hospitals, banks and ATM's as well.
This lovely three bedroom for sale is only 1.8 Crores rupees without any extra brokerage & could be your new home. This home is over 1930 sqft. & even comes with ample parking space for car and bike. This home is on the 1st floor & brings in light & air to the home.

When you need community centre, kids play zone, a gym, garden & swimming pool, all you have to do is step out of the door as the apartment complex has what you're looking for. With amenities such as intercom, security, elevator & Wi-Fi access this home offers you a lot of convenience.

If you love movies, Car drivers in Bangalore Car Drivers Bangalore & Dayanandasagar are just a few minutes away. With Hellmann Worldwide Logistics and Momentous Gifting nearby, access to all your favourite stores is now a breeze.

The ATM & bus stop are close by, you will find having money in hand & access to public transport very easy. With a petrol pump & super market your daily needs are easily fulfilled

If you are in need of any emergency services or medical assistance, you will be happy to note that Apollo Spectra Hospitals, Cloudnine Hospital and Akshatha Skin & Child Care Centre are very close by. If you have kids at home, the closest school is Bethany High School & is worth checking out.",Bus StationsDomlur Flyover Bus Stop90 m | 1 minDomlur Bridge0.3 km | 5 minsDomlur Bridge0.2 km | 3 minsDomlur Bridge0.4 km | 5 minsDell IT Complex Bus Stop0.5 km | 6 mins,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park']","100 Feet Rd,Intermediate Ring Road, near Ankit Singh Photography",Domlur,5.0
1705040591-39,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Bda Mig Flats For Sale  In Domlur,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-domlur-bangalore/8a9fb0838c6b4105018c6c1fefc26a01/detail,₹ 90 Lacs,"1,100",2 Bedroom,2 Bathroom,,Bda Mig Flats,>10 years,Self Owned,>10 years,Marble/Granite,Semi,East,3/3,Bike and Car,No,"This lovely double bedroom for sale is only 90 Lakhs rupees without any extra brokerage & could be your new home. This home is over 1100 sqft. & even comes with ample parking facility for car and bike. This East facing home is on the 3rd floor.

You are viewing the right home if you would prefer a house with visitor parking.",Bus StationsDomlur Bridge0.3 km | 4 minsDomlur0.4 km | 5 minsKSRTC Ticket Booking Centre0.3 km | 4 minsKSRTC Reservation Counter0.3 km | 4 minsDomlur Flyover Bus Stop1.0 km | 12 mins,['Visitor parking'],"Bengaluru, Stage 2, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040593-40,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Bda Mig Flats For Sale  In Domlur,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-domlur-bangalore/8a9fbb8378c5af840178c627dd7f2421/detail,₹ 1.2 Crores,"1,100",2 Bedroom,2 Bathroom,1.0,Bda Mig Flats,>10 years,Self Owned,>10 years,Mosaic,Semi,North,0/3,Bike and Car,Yes,"This is ground floor  mig BDA flat , good for families with an association, security , minimum maintenance charge, flat is having back yard and side corner space ,covered car parking in a big size room, Interested in family whattsup ph no **********
Pl contact ********** 
Sp mago 
Owner
An affordable 2bhk for sale in Domlur is now available, without any brokerage. This North facing home is over 1100 sqft. & is in a convenient location. You get ample & dedicated car and bike parking facility with this home.

If you are looking for a home with security, this home is just right for you. With premium amenities such as parking for visitors & sewage treatment plant this home provides you with many added benefits.

This home has easy access to ATM, super market & more local amenities because of its convenient location. For those always on the move the bus stop as well as petrol pump are conveniently located close to this home.

With KLAY Prep Schools and DayCare, KLAY Prep Schools and DayCare and EuroKids Pre-School Indiranagar close to this home, you'll be able to provide your children with many options to choose from. Being situated near Hosmat Hospital, Motherhood Hospital Indiranagar and Axon Speciality Hospital, emergency care is very easily available at any time.

Never miss out on lifestyle as 1 MG-Lido Mall, Gangarams book bureau and Eva Mall are so close by. With Inox, Fame Shankarnag Chitra Mandira & Sri Balaji Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic.",Bus StationsDomlur Bridge0.2 km | 3 minsDr BR Ambedkar Bus Terminal Domlur0.3 km | 4 minsDoopanahalli Bus Stop0.7 km | 9 minsDomlur Flyover &#40;Towards Commando Hospital&#41;0.7 km | 9 minsDoopanahalli Main Bus Stop1.0 km | 13 mins,"['Sewage treatment plant', 'Visitor parking', 'Security']","Bengaluru, Stage 2, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040596-41,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,4+ BHK Flat In Standalone Builidng  For Sale  In Domlur Layout,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-domlur-layout-bangalore/8a9ffb858a5e12a2018a5ebafefe4285/detail,₹ 3 Crores,"2,400",4 Bedroom,8 Bathroom,,Standalone Builidng,>10 years,Self Owned,>10 years,,Unfurnished,South,0/3,Bike,No,"total 9bhk -1bhk 4 unit,2bhk 1 unit and 3 bhk 1 unit.
Get this 4+ BHK for sale in Domlur Layout now, you save lakhs on brokerage! This home is over 2400 sqft. & even comes with ample space for parking of bike. This home faces the South direction.

With National Public School, Arya Samaj Mandir and New Horizon Public School close to this home, you'll be able to provide your children with many options to choose from. If you are in need of any emergency services or medical assistance, you will be happy to note that ESI Hospital, Cloudnine Hospital - Old Airport Road and Enhanced Health Care are very close by.

If you are looking for gifts, or just want to spoil yourself, Gangarams, 1 MG-Lido Mall and Hellmann Worldwide Logistics have a wide variety of things that you can choose from. As Inox, Sri Balaji Theatre & INOX Lido are in close proximity to this house, you can catch the latest movies at any time.",Bus StationsHero Honda1.5 km | 5 minsDr BR Ambedkar Bus Terminal Domlur1.2 km | 5 minsVivek Nagara Police Station Ravi Tent4.9 km | 13 minsVivek Nagara Police Station Ravi Tent4.9 km | 13 minsPolice Station Koramangala5.4 km | 18 mins,,"2nd A Main, koramnagal, Domlur Layour",Domlur,5.0
1705040598-42,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,1 BHK Flat In Natasha Golf View Apartments For Sale  In Domlur,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-domlur-bangalore/8a9fdc838afa2007018afa5b0701265c/detail,₹ 72 Lacs,650,1 Bedroom,1 Bathroom,1.0,Natasha Golf View A...,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,North-East,5/10,Bike and Car,Yes,"Contact me via whatsapp
This 1BHK for sale comes with an affordable price tag of just 72 Lakhs rupees with an additional perk of paying no brokerage. This North East facing home is over 650 sqft. & is in a convenient location. Situated on the 5th floor this home can comfortably serve your parking space for car and bike needs.

Amenities like club house, children play zone, a gym, park & swimming pool for relaxation gives you something to do in your free time. If you need amenities such as intercom, lift & internet you'll be happy to note that this home has this & more. With premium amenities such as visitor parking this home provides you with many added benefits.",Bus StationsDr BR Ambedkar Bus Terminal Domlur4.4 km | 11 minsHero Honda0.5 km | 2 minsPolice Station Indiranagara5.4 km | 15 minsDouble Road Indiranagara5.6 km | 15 minsPolice Station Indiranagara5.4 km | 14 mins,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Visitor parking']","Intermediate Ring Road, Domlur, Bengaluru, Karnataka 560071, India",Domlur,5.0
1705040601-43,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,2 BHK Flat In Aisha Cottage For Sale  In Domlur,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-domlur-bangalore/8a9feb838a0cf5c5018a0d249ce1368a/detail,₹ 1.1 Crores,600,2 Bedroom,1 Bathroom,,Aisha Cottage,3-5 years,Self Owned,3-5 years,,Semi,North,1/3,Bike,No,"An affordable double bedroom for sale in Domlur is now available, without any brokerage. This North facing home is over 600 sqft. & is in a convenient location. Situated on the 1st floor this home can comfortably serve your parking space for a bike needs.

With amenities such as Wi-Fi this home offers you a lot of convenience.

With KLAY Prep Schools and DayCare, KLAY Prep Schools and DayCare and EuroKids Pre-School Indiranagar close to this home, you'll be able to provide your children with many options to choose from. Being situated near Hosmat Hospital, Motherhood Hospital Indiranagar and Axon Speciality Hospital, emergency care is very easily available at any time.

With Inox, Rex & Fame Shankarnag Chitra Mandira close by, you can catch your favourite movies running & never worry about missing a show because of traffic. If you are looking for gifts, or just want to spoil yourself, 1 MG-Lido Mall, Gangarams book bureau and Eva Mall have a wide variety of things that you can choose from.

With a subway station located nearby, this home is well connected & offers many transit options. 

With a petrol pump & super market your daily needs are easily fulfilled The ATM & bus stop are close by, you will find having money in hand & access to public transport very easy.",Bus StationsKSRTC Ticket Booking Centre0.5 km | 7 minsHalasuru Police Station0.9 km | 11 minsCommando Hospital1.2 km | 16 minsLakshmipura1.3 km | 17 minsHalasuru1.4 km | 18 mins,"['Internet provider', 'Shopping center']","Cambridge Layout,near Charans PU College",Domlur,5.0
1705040604-44,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,"2 BHK Flat In Trinity Golf Links For Sale  In 3rd Main Road, Domlur",https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-3rd-main-road-domlur-bangalore/8a9fb3827d2d5a16017d2dbb1f8f33cc/detail,₹ 1.25 Crores,"1,250",2 Bedroom,2 Bathroom,4.0,Trinity Golf Links,>10 years,Self Owned,>10 years,Mosaic,Fully furnished,East,2/4,Car,No,"This lovely 2 BHK for sale is only 1.25 Crores rupees without any extra brokerage & could be your new home. Situated on the 2nd floor this home can comfortably serve your parking facility for car needs. This East facing home is over 1250 sqft. & is in a convenient location.

If you need amenities such as elevator you'll be happy to note that this home has this & more.

Essential services such as ATM, petrol pump & medical stores are close by & easy to find from this home. As there are bus stop, super market & other local amenities close by, you'll find everything you need near home.

As India International School and New Horizon Public School are nearby, quality education is very easy to find. Being situated near Hosmat Hospital, Nethradhama Superspeciality Eye Hospital and Axon Speciality Hospital, emergency care is very easily available at any time.

Never miss out on lifestyle as 1 MG - Lido Mall, The Oasis Centre and Max Fashion are so close by. As Inox, Fame Shankarnag Chitra Mandir & Sri Balaji Theatre are in close proximity to this house, you can catch the latest movies at any time.",Bus StationsKodihalli Bus Stop0.4 km | 5 minsDomlur Flyover Bus Stop0.5 km | 6 minsManipal Hospital Bus Stop0.7 km | 9 minsredBus0.8 km | 11 minsInner Ring Road ISRO Quarters Bus Stop0.8 km | 10 mins,['Lift'],Near YES CARS ON INNER RING ROAD,Domlur,5.0
1705040607-45,https://www.nobroker.in/property/sale/bangalore/Domlur/?searchParam=W3sibGF0IjoxMi45NjA5ODU3LCJsb24iOjc3LjYzODczMTYsInBsYWNlSWQiOiJDaElKWDlPWmVoc1VyanNSamxuUGI2ZktXWUkiLCJwbGFjZU5hbWUiOiJEb21sdXIiLCJzaG93TWFwIjpmYWxzZX1d&propType=AP&isMetro=false&radius=2.0,3 BHK Flat In Diamond District For Sale  In Domlur,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-domlur-bangalore/8a9f85038cf3b965018cf4abf949704f/detail,₹ 1.75 Crores,"1,716",3 Bedroom,3 Bathroom,1.0,Diamond District,>10 years,Self Owned,>10 years,Marble/Granite,Semi,South,0/0,Car,Yes,"Big beautiful semi furnished tenanted property with the Complex having all the amenities you can think of..... all indoor n outdoor games , gym , swimming pools , lot of greenary , walking track..
This affordable 3 BHK for sale in Domlur is perfect for those looking for a budget home. This home is over 1716 sqft. & even comes with ample car parking. This home faces the South direction.

With premium amenities such as servant room this home provides you with many added benefits. With amenities such as security this home offers you a lot of convenience. Amenities like a gym gives you something to do in your free time.

Being near Lido Mall makes shopping fun and convenient.

As National Public School and Sri Rakum School For The Blind are nearby, quality education is very easy to find. If you are in need of any emergency services or medical assistance, you will be happy to note that Apple Baby Clinic, Cloudnine Care Hospital and Manipal Hospital are very close by.

ATM, bus station & pharmacies are found close to this home, these 3 essential local amenities will save you time & worry. With a petrol pump & super market your daily needs are easily fulfilled",Bus StationsKodihalli Bus Stop0.1 km | 1 minDomlur Flyover Bus Stop0.9 km | 11 minsDomlur Bus Stand1.1 km | 13 minsDomlur Bus Stop1.1 km | 13 minsIndira Nagar Old Police Station Bus Stop2.5 km | 31 mins,"['Security', 'Gym']","Diamond District, Old Airport Raod, Kodihalli, Bangalore 560008, Karnataka, India, HAL Old Airport Rd, ISRO Colony, Domlur, Bengaluru, Karnataka 560008, India",Domlur,5.0
